year,month,day,city,rain
2010,1,1,0,False
2010,1,1,1,False
2010,1,1,2,True
2010,1,1,4,False
2010,1,2,0,False
2010,1,2,1,False
2010,1,2,2,True
2010,1,2,4,False
2010,1,3,0,True
2010,1,3,1,False
2010,1,3,2,False
2010,1,3,4,False
2010,1,4,0,False
2010,1,4,1,True
2010,1,4,2,False
2010,1,4,4,False
2010,1,5,0,False
2010,1,5,1,False
2010,1,5,2,True
2010,1,5,4,False
2010,1,6,0,False
2010,1,6,1,True
2010,1,6,2,True
2010,1,6,4,False
2010,1,7,0,False
2010,1,7,1,False
2010,1,7,2,True
2010,1,7,4,False
2010,1,8,0,False
2010,1,8,1,False
2010,1,8,2,True
2010,1,8,4,False
2010,1,9,0,False
2010,1,9,1,False
2010,1,9,2,True
2010,1,9,4,False
2010,1,10,0,False
2010,1,10,1,True
2010,1,10,2,True
2010,1,10,4,True
2010,1,11,0,False
2010,1,11,1,False
2010,1,11,2,True
2010,1,11,4,True
2010,1,12,0,False
2010,1,12,1,False
2010,1,12,2,False
2010,1,12,4,False
2010,1,13,0,False
2010,1,13,1,False
2010,1,13,2,False
2010,1,13,4,True
2010,1,14,0,False
2010,1,14,1,False
2010,1,14,2,False
2010,1,14,4,False
2010,1,15,0,False
2010,1,15,1,False
2010,1,15,2,False
2010,1,15,4,False
2010,1,16,0,False
2010,1,16,1,False
2010,1,16,2,False
2010,1,16,4,False
2010,1,17,0,False
2010,1,17,1,False
2010,1,17,2,False
2010,1,17,4,False
2010,1,18,0,False
2010,1,18,1,False
2010,1,18,2,False
2010,1,18,4,False
2010,1,19,0,False
2010,1,19,1,False
2010,1,19,2,False
2010,1,19,4,False
2010,1,20,0,False
2010,1,20,1,False
2010,1,20,2,False
2010,1,20,4,False
2010,1,21,0,False
2010,1,21,1,False
2010,1,21,2,False
2010,1,21,4,True
2010,1,22,0,False
2010,1,22,1,False
2010,1,22,2,True
2010,1,22,4,False
2010,1,23,0,False
2010,1,23,1,False
2010,1,23,2,True
2010,1,23,4,False
2010,1,24,0,False
2010,1,24,1,False
2010,1,24,2,False
2010,1,24,4,True
2010,1,25,0,False
2010,1,25,1,False
2010,1,25,2,True
2010,1,25,4,True
2010,1,26,0,False
2010,1,26,1,False
2010,1,26,2,False
2010,1,26,4,False
2010,1,27,0,False
2010,1,27,1,False
2010,1,27,2,False
2010,1,27,4,True
2010,1,28,0,False
2010,1,28,1,False
2010,1,28,2,False
2010,1,28,4,False
2010,1,29,0,False
2010,1,29,1,False
2010,1,29,2,True
2010,1,29,4,False
2010,1,30,0,False
2010,1,30,1,True
2010,1,30,2,False
2010,1,30,4,False
2010,1,31,0,False
2010,1,31,1,True
2010,1,31,2,False
2010,1,31,4,True
2010,2,1,0,False
2010,2,1,1,False
2010,2,1,2,False
2010,2,1,4,True
2010,2,2,0,False
2010,2,2,1,False
2010,2,2,2,False
2010,2,2,4,True
2010,2,3,0,False
2010,2,3,1,True
2010,2,3,2,True
2010,2,3,4,True
2010,2,4,0,False
2010,2,4,1,False
2010,2,4,2,True
2010,2,4,4,False
2010,2,5,0,False
2010,2,5,1,False
2010,2,5,2,True
2010,2,5,4,False
2010,2,6,0,False
2010,2,6,1,False
2010,2,6,2,True
2010,2,6,4,True
2010,2,7,0,False
2010,2,7,1,False
2010,2,7,2,True
2010,2,7,4,True
2010,2,8,0,False
2010,2,8,1,False
2010,2,8,2,True
2010,2,8,4,True
2010,2,9,0,False
2010,2,9,1,False
2010,2,9,2,True
2010,2,9,4,True
2010,2,10,0,False
2010,2,10,1,False
2010,2,10,2,False
2010,2,10,4,True
2010,2,11,0,False
2010,2,11,1,False
2010,2,11,2,False
2010,2,11,4,True
2010,2,12,0,False
2010,2,12,1,False
2010,2,12,2,True
2010,2,12,4,False
2010,2,13,0,False
2010,2,13,1,False
2010,2,13,2,True
2010,2,13,4,False
2010,2,14,0,False
2010,2,14,1,True
2010,2,14,2,True
2010,2,14,4,True
2010,2,15,0,False
2010,2,15,1,True
2010,2,15,2,True
2010,2,15,4,True
2010,2,16,0,False
2010,2,16,1,False
2010,2,16,2,True
2010,2,16,4,False
2010,2,17,0,False
2010,2,17,1,True
2010,2,17,2,True
2010,2,17,4,False
2010,2,18,0,False
2010,2,18,1,False
2010,2,18,2,True
2010,2,18,4,False
2010,2,19,0,False
2010,2,19,1,False
2010,2,19,2,True
2010,2,19,4,False
2010,2,20,0,False
2010,2,20,1,False
2010,2,20,2,False
2010,2,20,4,False
