Id,monthly_precipitation
2014_1_0,10
2014_1_1,10
2014_1_2,10
2014_1_3,10
2014_1_4,10
2014_2_0,10
2014_2_1,10
2014_2_2,10
2014_2_3,10
2014_2_4,10
2014_3_0,10
2014_3_1,10
2014_3_2,10
2014_3_3,10
2014_3_4,10
2014_4_0,10
2014_4_1,10
2014_4_2,10
2014_4_3,10
2014_4_4,10
2014_5_0,10
2014_5_1,10
2014_5_2,10
2014_5_3,10
2014_5_4,10
2014_6_0,10
2014_6_1,10
2014_6_2,10
2014_6_3,10
2014_6_4,10
2014_7_0,10
2014_7_1,10
2014_7_2,10
2014_7_3,10
2014_7_4,10
2014_8_0,10
2014_8_1,10
2014_8_2,10
2014_8_3,10
2014_8_4,10
2014_9_0,10
2014_9_1,10
2014_9_2,10
2014_9_3,10
2014_9_4,10
2014_10_0,10
2014_10_1,10
2014_10_2,10
2014_10_3,10
2014_10_4,10
2014_11_0,10
2014_11_1,10
2014_11_2,10
2014_11_3,10
2014_11_4,10
2014_12_0,10
2014_12_1,10
2014_12_2,10
2014_12_3,10
2014_12_4,10
2015_1_0,10
2015_1_1,10
2015_1_2,10
2015_1_3,10
2015_1_4,10
2015_2_0,10
2015_2_1,10
2015_2_2,10
2015_2_3,10
2015_2_4,10
2015_3_0,10
2015_3_1,10
2015_3_2,10
2015_3_3,10
2015_3_4,10
2015_4_0,10
2015_4_1,10
2015_4_2,10
2015_4_3,10
2015_4_4,10
2015_5_0,10
2015_5_1,10
2015_5_2,10
2015_5_3,10
2015_5_4,10
2015_6_0,10
2015_6_1,10
2015_6_2,10
2015_6_3,10
2015_6_4,10
2015_7_0,10
2015_7_1,10
2015_7_2,10
2015_7_3,10
2015_7_4,10
2015_8_0,10
2015_8_1,10
2015_8_2,10
2015_8_3,10
2015_8_4,10
2015_9_0,10
2015_9_1,10
2015_9_2,10
2015_9_3,10
2015_9_4,10
2015_10_0,10
2015_10_1,10
2015_10_2,10
2015_10_3,10
2015_10_4,10
2015_11_0,10
2015_11_1,10
2015_11_2,10
2015_11_3,10
2015_11_4,10
2015_12_0,10
2015_12_1,10
2015_12_2,10
2015_12_3,10
2015_12_4,10
